State,Year,SDP
Andhra Pradesh,2000,126035
Andhra Pradesh,2001,131750
Andhra Pradesh,2002,134749
Andhra Pradesh,2003,147950
Andhra Pradesh,2004,121388
Andhra Pradesh,2005,128150
Andhra Pradesh,2006,141610
Andhra Pradesh,2007,159270
Andhra Pradesh,2008,163341
Andhra Pradesh,2009,174401
Andhra Pradesh,2010,186041
Andhra Pradesh,2011,339996
Andhra Pradesh,2012,341335
Andhra Pradesh,2013,360239
Andhra Pradesh,2014,397064
Andhra Pradesh,2015,446997
Andhra Pradesh,2016,477566
Andhra Pradesh,2017,526626
Andhra Pradesh,2018,558862
Arunachal Pradesh,2000,1607
Arunachal Pradesh,2001,1864
Arunachal Pradesh,2002,1775
Arunachal Pradesh,2003,1968
Arunachal Pradesh,2004,3188
Arunachal Pradesh,2005,3281
Arunachal Pradesh,2006,3458
Arunachal Pradesh,2007,3873
Arunachal Pradesh,2008,4191
Arunachal Pradesh,2009,4539
Arunachal Pradesh,2010,4735
Arunachal Pradesh,2011,10229
Arunachal Pradesh,2012,10399
Arunachal Pradesh,2013,11226
Arunachal Pradesh,2014,13082
Arunachal Pradesh,2015,12889
Arunachal Pradesh,2016,13396
Arunachal Pradesh,2017,13923
Arunachal Pradesh,2018,14897
Assam,2000,32821
Assam,2001,33668
Assam,2002,35708
Assam,2003,37905
Assam,2004,47181
Assam,2005,48602
Assam,2006,50797
Assam,2007,52968
Assam,2008,56123
Assam,2009,61294
Assam,2010,64310
Assam,2011,129354
Assam,2012,132518
Assam,2013,138725
Assam,2014,146425
Assam,2015,167629
Assam,2016,179632
Assam,2017,195262
Assam,2018,204627
Bihar,2000,53656
Bihar,2001,50579
Bihar,2002,56975
Bihar,2003,53301
Bihar,2004,70167
Bihar,2005,68419
Bihar,2006,80260
Bihar,2007,84415
Bihar,2008,97284
Bihar,2009,101938
Bihar,2010,117503
Bihar,2011,228497
Bihar,2012,236933
Bihar,2013,246915
Bihar,2014,255739
Bihar,2015,269200
Bihar,2016,289265
Bihar,2017,312605
Bihar,2018,345545
Goa,2000,5287
Goa,2001,5492
Goa,2002,5826
Goa,2003,6225
Goa,2004,10999
Goa,2005,11916
Goa,2006,13085
Goa,2007,13655
Goa,2008,14728
Goa,2009,16119
Goa,2010,19293
Goa,2011,38009
Goa,2012,32453
Goa,2013,27971
Goa,2014,36042
Goa,2015,41929
Goa,2016,46371
Goa,2017,47077
Goa,2018,47425
Gujarat,2000,86431
Gujarat,2001,93455
Gujarat,2002,101603
Gujarat,2003,118525
Gujarat,2004,172265
Gujarat,2005,197270
Gujarat,2006,213954
Gujarat,2007,239253
Gujarat,2008,249480
Gujarat,2009,284732
Gujarat,2010,315892
Gujarat,2011,532809
Gujarat,2012,596659
Gujarat,2013,641489
Gujarat,2014,705629
Gujarat,2015,774775
Gujarat,2016,843930
Gujarat,2017,946511
Gujarat,2018,1034399
Himachal Pradesh,2000,13262
Himachal Pradesh,2001,13938
Himachal Pradesh,2002,14617
Himachal Pradesh,2003,15596
Himachal Pradesh,2004,21189
Himachal Pradesh,2005,23009
Himachal Pradesh,2006,24819
Himachal Pradesh,2007,26362
Himachal Pradesh,2008,27649
Himachal Pradesh,2009,29149
Himachal Pradesh,2010,31590
Himachal Pradesh,2011,33955
Himachal Pradesh,2012,60536
Himachal Pradesh,2013,64519
Himachal Pradesh,2014,69398
Himachal Pradesh,2015,74553
Himachal Pradesh,2016,80563
Himachal Pradesh,2017,88112
Himachal Pradesh,2018,93525
Jammu And Kashmir,2000,13917
Jammu And Kashmir,2001,14185
Jammu And Kashmir,2002,14907
Jammu And Kashmir,2003,15673
Jammu And Kashmir,2004,23292
Jammu And Kashmir,2005,24371
Jammu And Kashmir,2006,25794
Jammu And Kashmir,2007,27387
Jammu And Kashmir,2008,29102
Jammu And Kashmir,2009,30512
Jammu And Kashmir,2010,32256
Jammu And Kashmir,2011,65319
Jammu And Kashmir,2012,67316
Jammu And Kashmir,2013,70536
Jammu And Kashmir,2014,67154
Jammu And Kashmir,2015,80602
Jammu And Kashmir,2016,82636
Jammu And Kashmir,2017,87591
Jammu And Kashmir,2018,93072
Jharkhand,2000,26663
Jharkhand,2001,28500
Jharkhand,2002,29298
Jharkhand,2003,31515
Jharkhand,2004,53056
Jharkhand,2005,50678
Jharkhand,2006,51527
Jharkhand,2007,63005
Jharkhand,2008,60472
Jharkhand,2009,66465
Jharkhand,2010,76134
Jharkhand,2011,137383
Jharkhand,2012,149526
Jharkhand,2013,150609
Jharkhand,2014,170568
Jharkhand,2015,158231
Jharkhand,2016,176363
Jharkhand,2017,191573
Jharkhand,2018,208701
Karnataka,2000,91136
Karnataka,2001,92788
Karnataka,2002,97765
Karnataka,2003,99669
Karnataka,2004,148729
Karnataka,2005,164031
Karnataka,2006,181086
Karnataka,2007,203810
Karnataka,2008,218309
Karnataka,2009,218363
Karnataka,2010,240817
Karnataka,2011,554952
Karnataka,2012,593192
Karnataka,2013,646787
Karnataka,2014,671283
Karnataka,2015,749952
Karnataka,2016,851394
Karnataka,2017,915642
Karnataka,2018,974815
Kerala,2000,62909
Kerala,2001,66052
Kerala,2002,70885
Kerala,2003,75479
Kerala,2004,104776
Kerala,2005,115500
Kerala,2006,124625
Kerala,2007,135747
Kerala,2008,144094
Kerala,2009,157123
Kerala,2010,167178
Kerala,2011,328021
Kerala,2012,348616
Kerala,2013,364707
Kerala,2014,382134
