Country,Continent,ISO_Code,Level,GDLCODE,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,Asia/Pacific,IND,National,INDt,Total,0.491,0.496,0.503,0.516,0.525,0.534,0.543,0.553,0.56,0.565,0.575,0.588,0.598,0.607,0.619,0.629,0.639,0.644,0.645
India,Asia/Pacific,IND,Subnat,INDr136,Andaman and Nicobar Islands,0.686,0.687,0.69,0.702,0.708,0.714,0.721,0.716,0.71,0.702,0.7,0.703,0.702,0.708,0.718,0.726,0.734,0.731,0.726
India,Asia/Pacific,IND,Subnat,INDr101,Andhra Pradesh,0.473,0.479,0.488,0.504,0.515,0.526,0.538,0.548,0.557,0.563,0.574,0.589,0.599,0.608,0.621,0.631,0.643,0.645,0.644
India,Asia/Pacific,IND,Subnat,INDr125,Arunachal Pradesh,0.497,0.5,0.505,0.516,0.523,0.53,0.537,0.564,0.589,0.609,0.635,0.663,0.687,0.679,0.674,0.664,0.654,0.665,0.672
India,Asia/Pacific,IND,Subnat,INDr102,Assam,0.482,0.487,0.494,0.508,0.517,0.526,0.536,0.543,0.547,0.551,0.56,0.572,0.58,0.585,0.593,0.599,0.606,0.61,0.61
India,Asia/Pacific,IND,Subnat,INDr103,Bihar,0.43,0.434,0.439,0.45,0.457,0.465,0.473,0.483,0.492,0.498,0.508,0.521,0.531,0.538,0.549,0.558,0.568,0.575,0.579
India,Asia/Pacific,IND,Subnat,INDr131,Chandigarth,0.63,0.631,0.634,0.645,0.651,0.658,0.664,0.659,0.653,0.645,0.643,0.644,0.643,0.673,0.706,0.737,0.768,0.767,0.764
India,Asia/Pacific,IND,Subnat,INDr129,Chhattisgarh,0.555,0.555,0.559,0.569,0.575,0.581,0.587,0.582,0.576,0.569,0.566,0.568,0.566,0.574,0.585,0.595,0.605,0.611,0.615
India,Asia/Pacific,IND,Subnat,INDr132,Dadra and Nagar Haveli,0.673,0.674,0.678,0.69,0.696,0.702,0.709,0.704,0.698,0.69,0.688,0.69,0.689,0.68,0.674,0.665,0.657,0.65,0.641
India,Asia/Pacific,IND,Subnat,INDr134,Daman and Diu,0.655,0.656,0.659,0.67,0.676,0.682,0.688,0.684,0.678,0.671,0.669,0.672,0.671,0.677,0.686,0.693,0.701,0.694,0.684
India,Asia/Pacific,IND,Subnat,INDr104,Goa,0.609,0.616,0.626,0.643,0.655,0.668,0.681,0.695,0.707,0.716,0.731,0.75,0.765,0.761,0.762,0.758,0.755,0.761,0.764
India,Asia/Pacific,IND,Subnat,INDr105,Gujarat,0.521,0.527,0.534,0.549,0.558,0.569,0.579,0.585,0.589,0.592,0.599,0.611,0.618,0.628,0.642,0.654,0.666,0.662,0.657
India,Asia/Pacific,IND,Subnat,INDr106,Haryana,0.543,0.548,0.555,0.568,0.577,0.587,0.596,0.606,0.613,0.618,0.628,0.642,0.653,0.663,0.677,0.689,0.701,0.705,0.705
India,Asia/Pacific,IND,Subnat,INDr107,Himachal Pradesh,0.584,0.591,0.6,0.617,0.629,0.641,0.653,0.656,0.657,0.657,0.661,0.67,0.675,0.684,0.697,0.707,0.718,0.72,0.719
India,Asia/Pacific,IND,Subnat,INDr108,Jammu and Kashmir,0.523,0.531,0.541,0.558,0.571,0.583,0.596,0.608,0.617,0.624,0.636,0.651,0.663,0.666,0.673,0.677,0.682,0.695,0.705
India,Asia/Pacific,IND,Subnat,INDr128,Jharkhand,0.555,0.556,0.559,0.57,0.576,0.582,0.588,0.583,0.577,0.569,0.567,0.569,0.567,0.571,0.579,0.585,0.591,0.597,0.599
India,Asia/Pacific,IND,Subnat,INDr109,Karnataka,0.512,0.518,0.526,0.54,0.551,0.561,0.572,0.58,0.586,0.59,0.599,0.612,0.622,0.633,0.649,0.662,0.676,0.68,0.68
India,Asia/Pacific,IND,Subnat,INDr110,Kerala,0.593,0.606,0.62,0.641,0.658,0.675,0.692,0.698,0.701,0.702,0.709,0.721,0.728,0.738,0.752,0.763,0.774,0.774,0.771
India,Asia/Pacific,IND,Subnat,INDr135,Lakshadweep,0.695,0.696,0.7,0.711,0.718,0.724,0.73,0.726,0.72,0.712,0.71,0.712,0.712,0.718,0.728,0.735,0.744,0.741,0.735
India,Asia/Pacific,IND,Subnat,INDr111,Madhya Pradesh,0.453,0.457,0.464,0.477,0.486,0.495,0.505,0.513,0.518,0.522,0.531,0.543,0.551,0.56,0.574,0.585,0.597,0.603,0.606
India,Asia/Pacific,IND,Subnat,INDr112,Maharashtra,0.552,0.557,0.565,0.579,0.589,0.598,0.608,0.617,0.624,0.629,0.638,0.652,0.662,0.667,0.676,0.683,0.69,0.696,0.699
India,Asia/Pacific,IND,Subnat,INDr113,Manipur,0.553,0.557,0.563,0.576,0.585,0.593,0.602,0.621,0.638,0.654,0.674,0.699,0.72,0.711,0.706,0.698,0.689,0.692,0.692
India,Asia/Pacific,IND,Subnat,INDr114,Meghalaya,0.471,0.478,0.488,0.504,0.516,0.528,0.54,0.56,0.578,0.593,0.613,0.637,0.657,0.653,0.654,0.651,0.649,0.654,0.655
India,Asia/Pacific,IND,Subnat,INDr115,Mizoram,0.564,0.572,0.583,0.6,0.613,0.626,0.639,0.651,0.66,0.667,0.679,0.696,0.709,0.704,0.704,0.7,0.698,0.701,0.702
India,Asia/Pacific,IND,Subnat,INDr116,Nagaland,0.518,0.521,0.526,0.538,0.545,0.553,0.56,0.585,0.608,0.629,0.654,0.683,0.708,0.698,0.691,0.682,0.672,0.678,0.681
India,Asia/Pacific,IND,Subnat,INDr124,New Delhi,0.657,0.659,0.663,0.673,0.679,0.685,0.692,0.696,0.698,0.698,0.702,0.711,0.716,0.72,0.729,0.734,0.739,0.743,0.744
India,Asia/Pacific,IND,Subnat,INDr117,Orissa,0.452,0.456,0.462,0.473,0.481,0.489,0.497,0.507,0.514,0.519,0.529,0.542,0.552,0.562,0.575,0.586,0.598,0.604,0.607
India,Asia/Pacific,IND,Subnat,INDr133,Puducherry,0.72,0.721,0.725,0.737,0.744,0.75,0.757,0.753,0.746,0.738,0.736,0.738,0.737,0.735,0.736,0.734,0.733,0.737,0.739
India,Asia/Pacific,IND,Subnat,INDr118,Punjab,0.573,0.577,0.582,0.595,0.603,0.611,0.619,0.628,0.636,0.641,0.651,0.665,0.675,0.684,0.696,0.706,0.717,0.716,0.712
India,Asia/Pacific,IND,Subnat,INDr119,Rajasthan,0.463,0.467,0.474,0.487,0.496,0.505,0.514,0.522,0.529,0.533,0.542,0.555,0.563,0.576,0.592,0.606,0.622,0.634,0.643
India,Asia/Pacific,IND,Subnat,INDr120,Sikkim,0.543,0.548,0.555,0.569,0.578,0.587,0.597,0.606,0.613,0.618,0.628,0.641,0.65,0.663,0.68,0.695,0.71,0.714,0.715
India,Asia/Pacific,IND,Subnat,INDr121,Tamil Nadu,0.537,0.545,0.554,0.571,0.583,0.596,0.609,0.618,0.625,0.631,0.641,0.656,0.667,0.673,0.684,0.693,0.702,0.703,0.702
India,Asia/Pacific,IND,Subnat,INDr130,Telangana,0.618,0.619,0.623,0.634,0.64,0.646,0.652,0.647,0.641,0.633,0.631,0.633,0.631,0.637,0.646,0.654,0.662,0.664,0.662
India,Asia/Pacific,IND,Subnat,INDr126,Tripura,0.525,0.528,0.532,0.543,0.55,0.557,0.564,0.575,0.583,0.59,0.602,0.618,0.63,0.633,0.641,0.646,0.651,0.65,0.646
India,Asia/Pacific,IND,Subnat,INDr123,Uttar Pradesh,0.456,0.461,0.468,0.48,0.489,0.498,0.508,0.514,0.518,0.521,0.528,0.538,0.545,0.554,0.567,0.577,0.588,0.595,0.6
India,Asia/Pacific,IND,Subnat,INDr127,Uttarakhand,0.621,0.622,0.626,0.637,0.644,0.65,0.656,0.651,0.645,0.636,0.634,0.635,0.633,0.642,0.655,0.666,0.676,0.682,0.684
India,Asia/Pacific,IND,Subnat,INDr122,West Bengal,0.5,0.503,0.508,0.519,0.527,0.534,0.542,0.549,0.555,0.558,0.567,0.578,0.586,0.596,0.61,0.622,0.634,0.637,0.637
