S.N.,State/ Union Territory,Literacy Rate
1,Kerala,94
2,Lakshadweep,91.8
3,Mizoram,91.3
4,Goa,88.7
5,Tripura,87.2
6,Daman & Diu,87.1
7,Andaman & Nicobar Island,86.6
8,NCT of Delhi,86.2
9,Chandigarh,86
10,Puducherry,85.8
11,Himachal pradesh,82.8
12,Maharashtra,82.3
13,Sikkim,81.4
14,Tamil Nadu,80.1
15,Nagaland,79.6
16,Manipur,79.2
17,Uttrakhand,78.8
18,Gujarat,78
19,West Bengal,76.3
20,Dadra & Nagar Haveli,76.2
21,Punjab,75.8
22,Haryana,75.6
23,Karnataka,75.4
24,Meghalaya,74.4
25,Odisha,72.9
26,Assam,72.2
27,Chhattisgarh,70.3
28,Madhya pradesh,69.3
29,Uttar pradesh,67.7
30,Jammu & Kashmir,67.2
31,Andhra pradesh,67
32,Jharkhand,66.4
33,Rajasthan,66.1
34,Arunachal Pradesh,65.4
35,Bihar,61.8
