"District","State","YearCode","District.Code","State.Code","Amount.of.Hydrogencarbonate","district_year_id","SDP","Ginni.Index","sdp2","sdp3","MarginOfVictory","percentagePoverty","HDI","literacyRate"
"Adilabad","Telangana",2018,501,36,360,"501_2018",544441,0.37,296416002481,161381024806758112,"16.4%","21.9",0.662,"67"
"Adilabad","Telangana",2004,501,36,177.166666666667,"501_2004",79916,0.37,6386567056,510388892847296,"4.90%","37.2",0.64,"60.5"
"Adilabad","Telangana",2014,501,36,274.636363636364,"501_2014",372897,0.37,139052172609,51852138009378272,"16.4%","21.9",0.646,"67"
"Adilabad","Telangana",2013,501,36,221.818181818182,"501_2013",349593,0.37,122215265649,42725601364030856,"13.3%","21.9",0.637,"74.04%"
"Adilabad","Telangana",2011,501,36,416,"501_2011",325139,0.37,105715369321,34372189465660620,"13.3%","21.9",0.633,"74.04%"
"Adilabad","Telangana",2016,501,36,340.75,"501_2016",455731,0.37,207690744361,94651110618382896,"16.4%","21.9",0.662,"67"
"Adilabad","Telangana",2009,501,36,216.5,"501_2009",129267,0.37,16709957289,2160046048877163,"13.3%","29.8",0.633,"74.04%"
"Adilabad","Telangana",2007,501,36,369.2,"501_2007",113456,0.37,12872263936,1460435577122816,"4.90%","37.2",0.647,"60.5"
"Adilabad","Telangana",2010,501,36,346.090909090909,"501_2010",152123,0.37,23141407129,3520340276684867,"13.3%","29.8",0.631,"74.04%"
"Adilabad","Telangana",2015,501,36,321,"501_2015",416892,0.37,173798939664,72455387554404288,"16.4%","21.9",0.654,"67"
"Adilabad","Telangana",2006,501,36,159.181818181818,"501_2006",102977,0.37,10604262529,1091995142448833,"4.90%","37.2",0.652,"60.5"
"Adilabad","Telangana",2005,501,36,351,"501_2005",92751,0.37,8602748001,797913479840751,"4.90%","37.2",0.646,"60.5"
"Adilabad","Telangana",2008,501,36,326.5,"501_2008",128918,0.37,16619850724,2142597915636632,"4.90%","37.2",0.641,"60.5"
"Adilabad","Telangana",2017,501,36,336.5,"501_2017",498145,0.37,248148441025,123613905154398624,"16.4%","21.9",0.664,"67"
"Agra","Uttar Pradesh",2000,118,9,444.1,"118_2000",160015,0.26,25604800225,4097152108003375,"17.60%","31.2",0.456,"56.3"
"Agra","Uttar Pradesh",2005,118,9,395,"118_2005",244514,0.26,59787096196,14618782039268744,"8.90%","40.9",0.498,"56.3"
"Agra","Uttar Pradesh",2018,118,9,332.912526315789,"118_2018",949184,0.26,900950265856,855167577146261504,"28.1%","29.4",0.6,"67.7"
"Agra","Uttar Pradesh",2016,118,9,285.709677419355,"118_2016",888453,0.26,789348733209,701299250065735680,"28.1%","29.4",0.588,"67.7"
"Agra","Uttar Pradesh",2004,118,9,373.2,"118_2004",231029,0.26,53374398841,12331033989837390,"8.90%","40.9",0.489,"56.3"
"Ahmednagar","Maharashtra",2004,466,27,372.176470588235,"466_2004",370023,0.24,136917020529,50662446687202168,"10.90%","38.1",0.589,"76.9"
"Ahmednagar","Maharashtra",2007,466,27,302.007902439024,"466_2007",538081,0.24,289531162561,155791217481985440,"10.90%","38.1",0.617,"76.9"
"Ahmednagar","Maharashtra",2000,466,27,430.065517241379,"466_2000",210526,0.24,44321196676,9330764251411576,"3.70%","25",0.552,"76.9"
"Ahmednagar","Maharashtra",2008,466,27,244.026829268293,"466_2008",546533,0.24,298698320089,163248488973201440,"10.90%","38.1",0.624,"76.9"
"Ahmednagar","Maharashtra",2002,466,27,367.6,"466_2002",232994,0.24,54286204036,12648359823163784,"3.70%","25",0.565,"76.9"
"Ahmednagar","Maharashtra",2001,466,27,428.92,"466_2001",217963,0.24,47507869369,10354957731275346,"3.70%","25",0.557,"76.9"
"Ahmednagar","Maharashtra",2006,466,27,276.530769230769,"466_2006",481983,0.24,232307612289,111968319893889088,"10.90%","38.1",0.608,"76.9"
"Ahmednagar","Maharashtra",2005,466,27,408.361111111111,"466_2005",423632,0.24,179464071424,76026723505491968,"10.90%","38.1",0.598,"76.9"
"Ajmer","Rajasthan",2017,86,8,459.045454545455,"86_2017",557618,0.31,310937833924,173384533077033024,"14.9%","14.7",0.634,"66.1"
"Ajmer","Rajasthan",2002,86,8,581.636363636364,"86_2002",70333,0.31,4946730889,347918423616037,"14.80%","15.3",0.474,"60.1"
"Ajmer","Rajasthan",2015,86,8,698.111111111111,"86_2015",501922,0.31,251925694084,126447048226029440,"14.9%","14.7",0.606,"66.1"
"Ajmer","Rajasthan",2004,86,8,522.137931034483,"86_2004",112636,0.31,12686868496,1428998119915456,"24.20%","34.4",0.496,"60.1"
"Ajmer","Rajasthan",2016,86,8,385.041666666667,"86_2016",529650,0.31,280529122500,148582249732124992,"14.9%","14.7",0.622,"66.1"
"Ajmer","Rajasthan",2009,86,8,487.172413793103,"86_2009",161159,0.31,25972223281,4185657531742679,"9.9%","24.8",0.533,"67.10%"
"Ajmer","Rajasthan",2006,86,8,513,"86_2006",134350,0.31,18049922500,2425007087875000,"24.20%","34.4",0.514,"60.1"
"Ajmer","Rajasthan",2014,86,8,331.666666666667,"86_2014",465408,0.31,216604606464,100809516685197312,"14.9%","14.7",0.592,"66.1"
"Ajmer","Rajasthan",2000,86,8,698.392857142857,"86_2000",71764,0.31,5150071696,369589745191744,"14.80%","15.3",0.463,"60.1"
"Ajmer","Rajasthan",2013,86,8,578.3,"86_2013",434292,0.31,188609541264,81911614894625088,"9.9%","14.7",0.576,"67.10%"
"Ajmer","Rajasthan",2018,86,8,414,"86_2018",568102,0.31,322739882404,183349172673477216,"14.9%","14.7",0.643,"66.1"
"Ajmer","Rajasthan",2005,86,8,420.318181818182,"86_2005",120202,0.31,14448520804,1736741097682408,"24.20%","34.4",0.505,"60.1"
"Ajmer","Rajasthan",2011,86,8,467.285714285714,"86_2011",395331,0.31,156286599561,61784937691049688,"9.9%","14.7",0.555,"67.10%"
"Ajmer","Rajasthan",2010,86,8,419.545454545455,"86_2010",185366,0.31,34360553956,6369278444607896,"9.9%","24.8",0.542,"67.10%"
"Ajmer","Rajasthan",2001,86,8,490.774193548387,"86_2001",79936,0.31,6389764096,510772182777856,"14.80%","15.3",0.467,"60.1"
"Ajmer","Rajasthan",2008,86,8,484.3125,"86_2008",152284,0.31,23190416656,3531529410042304,"24.20%","34.4",0.529,"60.1"
"Ajmer","Rajasthan",2007,86,8,520,"86_2007",140471,0.31,19732101841,2771788077707111,"24.20%","34.4",0.522,"60.1"
"Ajmer","Rajasthan",2012,86,8,453.192307692308,"86_2012",409802,0.31,167937679204,68821196813157608,"9.9%","14.7",0.563,"67.10%"
"Akola","Maharashtra",2012,467,27,484.384615384615,"467_2012",1189711,0.25,1415412263521,1683931539445832448,"8.8%","17.4",0.662,"82.90%"
"Akola","Maharashtra",2002,467,27,566.1,"467_2002",232994,0.25,54286204036,12648359823163784,"1.20%","25",0.565,"76.9"
"Akola","Maharashtra",2011,467,27,532.5,"467_2011",1126595,0.25,1269216294025,1429892730767094784,"8.8%","17.4",0.652,"82.90%"
"Akola","Maharashtra",2016,467,27,411.928571428571,"467_2016",1596121,0.25,2547602246641,4066281445510879744,"20.8%","17.4",0.69,"82.3"
"Akola","Maharashtra",2015,467,27,416.642857142857,"467_2015",1452513,0.25,2109794015169,3064503234355169792,"20.8%","17.4",0.683,"82.3"
"Akola","Maharashtra",2014,467,27,200.684210526316,"467_2014",1345341,0.25,1809942406281,2434989726808486912,"20.8%","17.4",0.676,"82.3"
"Akola","Maharashtra",2009,467,27,391.769230769231,"467_2009",599338,0.25,359206038244,215285828549082464,"8.8%","24.5",0.629,"82.90%"
"Akola","Maharashtra",2013,467,27,197.615384615385,"467_2013",1267551,0.25,1606685537601,2036555859871685120,"8.8%","17.4",0.667,"82.90%"
"Akola","Maharashtra",2017,467,27,466.029214285714,"467_2017",1661065,0.25,2759136934225,4583105791648449536,"20.8%","17.4",0.696,"82.3"
"Akola","Maharashtra",2008,467,27,442.25,"467_2008",546533,0.25,298698320089,163248488973201440,"14.50%","38.1",0.624,"76.9"
"Akola","Maharashtra",2004,467,27,522,"467_2004",370023,0.25,136917020529,50662446687202168,"14.50%","38.1",0.589,"76.9"
"Akola","Maharashtra",2001,467,27,635.642857142857,"467_2001",217963,0.25,47507869369,10354957731275346,"1.20%","25",0.557,"76.9"
"Akola","Maharashtra",2005,467,27,529.181818181818,"467_2005",423632,0.25,179464071424,76026723505491968,"14.50%","38.1",0.598,"76.9"
"Akola","Maharashtra",2000,467,27,566.727272727273,"467_2000",210526,0.25,44321196676,9330764251411576,"1.20%","25",0.552,"76.9"
"Akola","Maharashtra",2018,467,27,608.50359375,"467_2018",1728578,0.25,2987981902084,5164959780340556800,"20.8%","17.4",0.699,"82.3"
"Akola","Maharashtra",2006,467,27,398.923076923077,"467_2006",481983,0.25,232307612289,111968319893889088,"14.50%","38.1",0.608,"76.9"
"Akola","Maharashtra",2007,467,27,615.445526315789,"467_2007",538081,0.25,289531162561,155791217481985440,"14.50%","38.1",0.617,"76.9"
"Alappuzha","Kerala",2018,554,32,90.9468292682927,"554_2018",510787,0.32,260903359369,133266044222013408,"1.9%","7.1",0.771,"94"
"Alappuzha","Kerala",2010,554,32,59.7125,"554_2010",167178,0.32,27948483684,4672371605323752,"6.3%","12.0",0.709,"93.90%"
"Alappuzha","Kerala",2015,554,32,92.0444444444445,"554_2015",411150,0.32,169044322500,69502573195875000,"1.9%","7.1",0.763,"94"
"Alappuzha","Kerala",2017,554,32,131.1625,"554_2017",473182,0.32,223901205124,105946020042984560,"1.9%","7.1",0.774,"94"
