"State","YearCode","Amount.of.Hydrogencarbonate","SDP","sdp2","sdp3","Ginni.Index","HDI","MarginOfVictory","percentagePoverty","literacyRate","Poverty_Literacy","Literacy_HDI","log_SDP","log_SDP2","log_SDP3"
"Andhra Pradesh",2000,241.525159154571,126035,15884821225,2002043443092875,0.394,0.473,0.055,0.158,0.605,0.09559,0.286165,11.7443149251383,23.4886298502766,35.2329447754149
"Andhra Pradesh",2001,414.366666666667,131750,17358062500,2286924734375000,0.394,0.479,0.027,0.158,0.605,0.09559,0.289795,11.7886614664036,23.5773229328072,35.3659843992108
"Andhra Pradesh",2003,91.5,147950,21889202500,3238507509875000,0.394,0.504,0.143,0.158,0.605,0.09559,0.30492,11.9046296578284,23.8092593156567,35.7138889734851
"Andhra Pradesh",2004,267.913072230602,121388,14735046544,1788657829883072,0.394,0.515,0.0962,0.299,0.605,0.180895,0.311575,11.7067473059344,23.4134946118688,35.1202419178032
"Andhra Pradesh",2005,430.300222222222,128150,16422422500,2104533443375000,0.394,0.526,0.0962,0.299,0.605,0.180895,0.31823,11.7609567317922,23.5219134635844,35.2828701953767
"Andhra Pradesh",2006,264.52370151778,141610,20053392100,2839760855281000,0.394,0.538,0.0962,0.299,0.605,0.180895,0.32549,11.8608320792171,23.7216641584342,35.5824962376513
"Andhra Pradesh",2007,394.621395225464,159270,25366932900,4040191402983000,0.394,0.548,0.0962,0.299,0.605,0.180895,0.33154,11.9783561542458,23.9567123084917,35.9350684627375
"Andhra Pradesh",2008,345.321702848598,163341,26680282281,4357983988060821,0.394,0.557,0.0962,0.299,0.605,0.180895,0.336985,12.0035953190926,24.0071906381852,36.0107859572779
"Andhra Pradesh",2009,289.166163927606,174401,30415708801,5304530030603201,0.394,0.563,0.0596666666666667,0.211,0.677,0.142847,0.381151,12.0691125243855,24.1382250487711,36.2073375731566
"Andhra Pradesh",2010,389.728476176846,186041,34611253681,6439112246066921,0.27,0.574,0.0596666666666667,0.211,0.677,0.142847,0.388598,12.1337223585117,24.2674447170234,36.4011670755352
"Andhra Pradesh",2011,350.820151177325,339996,115597280016,39302612816319936,0.27,0.589,0.0596666666666667,0.092,0.677,0.062284,0.398753,12.7366891318173,25.4733782636345,38.2100673954518
"Andhra Pradesh",2013,288.259696863107,360239,129772137121,46748984904331920,0.27,0.608,0.0596666666666667,0.092,0.677,0.062284,0.411616,12.7945229790444,25.5890459580889,38.3835689371333
"Andhra Pradesh",2014,310.748154860835,397064,157659820096,62601038806598144,0.27,0.621,0.0668333333333333,0.092,0.67,0.06164,0.41607,12.8918527557446,25.7837055114891,38.6755582672337
