State/Union Territory,1993-94,,1999-00,
,No. of Persons,Percentage,No. of Persons,Percentage
Andhra Pradesh,154,22.2,119,15.8
Arunachal Pradesh,3.7,39.4,4,33.5
Assam,96.4,40.9,94.6,36.1
Bihar,493.4,55,425.6,42.6
Chhattisgarh,.,.,.,.
Goa,1.9,14.9,0.7,4.4
Gujarat,105.2,24.2,67.9,14.1
Haryana,43.9,25.1,17.3,8.7
Himachal Pradesh,15.9,28.4,5.1,7.6
Jammu & Kashmir,20.9,25.2,3.5,3.5
Jharkhand,.,.,.,.
Karnataka,156.5,33.2,104.4,20
Kerala,76.4,25.4,41,12.7
Madhya Pradesh,298.5,42.5,298.5,37.4
Maharashtra,305.2,36.9,228,25
Manipur,6.8,33.8,7.2,28.5
Meghalaya,7.4,37.9,8.2,33.9
Mizoram,1.9,25.7,1.9,19.5
Nagaland,5.1,37.9,5.5,32.7
Odisha,160.6,48.6,169.1,47.2
Punjab,25.1,11.8,14.5,6.2
Rajasthan,128.5,27.4,81.8,15.3
Sikkim,1.8,41.4,2.1,36.6
Tamil Nadu,202.1,35,130.5,21.1
Tripura,11.8,39,13,34.4
Uttarakhand,.,.,.,.
Uttar Pradesh,604.5,40.9,529.9,31.2
West Bengal,254.6,35.7,213.5,27
Andaman & Nicobar Islands,1.1,34.5,0.8,21
Chandigarh,0.8,11.4,0.5,5.8
Dadra & Nagar Haveli,0.8,50.8,0.3,17.1
Delhi,15.5,14.7,11.5,8.2
Daman & Diu,0.2,15.8,0.1,4.4
Lakshadweep,0.1,25,0.1,15.6
Puducherry,3.3,37.4,2.4,21.7
ALL INDIA,3203.7,36,2602.5,26.1
