country,state,district,yearcode,dyid,road_sum
India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,30.113
India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,239.487
India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,427.56
India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,27.695
India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,645.469
India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,.
India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,88.035
India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,171.847
India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,575.578
India,West Bengal,24 Paraganas South,2017,24 Paraganas South2017,151.251
India,Telangana,Adilabad,2012,Adilabad2012,9.575
India,Telangana,Adilabad,2016,Adilabad2016,.
India,Telangana,Adilabad,2017,Adilabad2017,130.517
India,Madhya Pradesh,Agar Malwa,2011,Agar Malwa2011,33
India,Madhya Pradesh,Agar Malwa,2012,Agar Malwa2012,183.74
India,Madhya Pradesh,Agar Malwa,2013,Agar Malwa2013,35.12
India,Madhya Pradesh,Agar Malwa,2015,Agar Malwa2015,116.1
India,Madhya Pradesh,Agar Malwa,2016,Agar Malwa2016,8.9
India,Madhya Pradesh,Agar Malwa,2017,Agar Malwa2017,7.05
India,Madhya Pradesh,Agar Malwa,2018,Agar Malwa2018,.
India,Uttar Pradesh,Agra,2011,Agra2011,18.06
India,Uttar Pradesh,Agra,2012,Agra2012,123.3
India,Gujarat,Ahmadabad,2013,Ahmadabad2013,129.804
India,Gujarat,Ahmadabad,2016,Ahmadabad2016,.
India,Maharashtra,Ahmednagar,2012,Ahmednagar2012,76.395
India,Maharashtra,Ahmednagar,2013,Ahmednagar2013,47.82
India,Maharashtra,Ahmednagar,2017,Ahmednagar2017,49.495
India,Mizoram,Aizawl,2013,Aizawl2013,28.75
India,Mizoram,Aizawl,2016,Aizawl2016,100.08
India,Mizoram,Aizawl,2017,Aizawl2017,39.54
India,Rajasthan,Ajmer,2011,Ajmer2011,32.3
India,Rajasthan,Ajmer,2012,Ajmer2012,57.97
India,Rajasthan,Ajmer,2013,Ajmer2013,30.145
India,Rajasthan,Ajmer,2016,Ajmer2016,39.35
India,Maharashtra,Akola,2012,Akola2012,13.2
India,Kerala,Alappuzha,2013,Alappuzha2013,24.7
India,Uttar Pradesh,Aligarh,2012,Aligarh2012,107.05
India,Uttar Pradesh,Aligarh,2018,Aligarh2018,15.85
India,West Bengal,Alipurduar,2011,Alipurduar2011,15.21
India,West Bengal,Alipurduar,2012,Alipurduar2012,38.333
India,West Bengal,Alipurduar,2013,Alipurduar2013,35.697
India,West Bengal,Alipurduar,2017,Alipurduar2017,276.457
India,West Bengal,Alipurduar,2018,Alipurduar2018,.
India,Madhya Pradesh,Alirajpur,2012,Alirajpur2012,145.33
India,Madhya Pradesh,Alirajpur,2013,Alirajpur2013,4.75
India,Madhya Pradesh,Alirajpur,2015,Alirajpur2015,.
India,Madhya Pradesh,Alirajpur,2016,Alirajpur2016,44.67
India,Madhya Pradesh,Alirajpur,2017,Alirajpur2017,50.53
India,Madhya Pradesh,Alirajpur,2018,Alirajpur2018,.
India,Uttarakhand,Almora,2011,Almora2011,2.25
India,Uttarakhand,Almora,2012,Almora2012,59.26
India,Uttarakhand,Almora,2013,Almora2013,170.35
India,Uttarakhand,Almora,2016,Almora2016,341.532
India,Uttarakhand,Almora,2017,Almora2017,321.862
India,Uttarakhand,Almora,2018,Almora2018,1071.189
India,Uttarakhand,Almora,2021,Almora2021,184.475
India,Rajasthan,Alwar,2011,Alwar2011,4.4
India,Rajasthan,Alwar,2012,Alwar2012,153.03
India,Uttar Pradesh,Ambedkar Nagar,2011,Ambedkar Nagar2011,44.545
India,Uttar Pradesh,Ambedkar Nagar,2012,Ambedkar Nagar2012,80.615
India,Uttar Pradesh,Ambedkar Nagar,2018,Ambedkar Nagar2018,18.6
India,Uttar Pradesh,Amethi,2011,Amethi2011,19.065
India,Uttar Pradesh,Amethi,2012,Amethi2012,134.875
India,Maharashtra,Amravati,2012,Amravati2012,15.2
India,Maharashtra,Amravati,2013,Amravati2013,43.65
India,Gujarat,Amreli,2013,Amreli2013,31.5
India,Punjab,Amritsar,2011,Amritsar2011,112.815
India,Punjab,Amritsar,2012,Amritsar2012,82.63
India,Punjab,Amritsar,2013,Amritsar2013,34.34
India,Punjab,Amritsar,2014,Amritsar2014,3.6
India,Uttar Pradesh,Amroha,2011,Amroha2011,4.305
India,Uttar Pradesh,Amroha,2012,Amroha2012,80.875
India,Uttar Pradesh,Amroha,2018,Amroha2018,6
India,Gujarat,Anand,2012,Anand2012,8.7
India,Gujarat,Anand,2013,Anand2013,30.44
India,Andhra Pradesh,Anantapur,2013,Anantapur2013,456.76
India,Andhra Pradesh,Anantapur,2017,Anantapur2017,31.64
India,Andhra Pradesh,Anantapur,2018,Anantapur2018,.
India,Jammu And Kashmir,Anantnag,2011,Anantnag2011,122.1
India,Jammu And Kashmir,Anantnag,2012,Anantnag2012,30.55
India,Jammu And Kashmir,Anantnag,2016,Anantnag2016,175.77
India,Jammu And Kashmir,Anantnag,2017,Anantnag2017,12.28
India,Jammu And Kashmir,Anantnag,2018,Anantnag2018,251.305
India,Arunachal Pradesh,Anjaw,2012,Anjaw2012,9.07
India,Arunachal Pradesh,Anjaw,2013,Anjaw2013,16.72
India,Arunachal Pradesh,Anjaw,2014,Anjaw2014,62.366
India,Arunachal Pradesh,Anjaw,2018,Anjaw2018,48.33
India,Odisha,Anugul,2011,Anugul2011,57.7
India,Odisha,Anugul,2012,Anugul2012,259.51
India,Odisha,Anugul,2013,Anugul2013,30.38
India,Odisha,Anugul,2016,Anugul2016,126.925
India,Odisha,Anugul,2017,Anugul2017,57.27
India,Madhya Pradesh,Anuppur,2011,Anuppur2011,154.945
India,Madhya Pradesh,Anuppur,2015,Anuppur2015,12.5
India,Madhya Pradesh,Anuppur,2016,Anuppur2016,.
India,Madhya Pradesh,Anuppur,2017,Anuppur2017,59.72
